question,document
"Okay, so I’m really confused about Office Hours. Where do I actually find the Zoom link? It's not publicly available, right?",489dd1c9d9
"I saw something about YouTube Live and Slido for questions – can you explain exactly how that works during a live session? Like, what happens when I type a question into Slido?",489dd1c9d9
"The announcement channel on Telegram and Slack says there’ll be a video URL posted before the sessions. Will it be recorded afterwards too, so we can watch it later if we miss something?",489dd1c9d9
"I noticed you mentioned watching live on DataTalksClub's YouTube Channel. Is that the *only* place to see the recordings after they happen, or will there be other options?",489dd1c9d9
Just to clarify – I shouldn’t be asking questions directly in the Zoom chat during the live sessions? What’s the best way to get my question noticed?,489dd1c9d9
"Okay, so I’m totally new to this Zoomcamp thing – where do I even begin with the course materials? Like, what's the best way to get organized?",04919992b3
"The docs say to use the LLM Zoomcamp docs, the Zoomcamp logistics docs, and the GitHub repo... but which one should I prioritize when I’m first getting started? Is there a main document I should focus on?",04919992b3
I see you mention deadlines in the course management platform. How far in advance do I need to plan my work each week to make sure I meet them?,04919992b3
"What exactly *is* this ‘typical workflow’ you describe – watching videos, doing notebooks, reading GitHub instructions… can you give me a more detailed breakdown of how it all fits together?",04919992b3
The homework is similar to the lessons but with different datasets. Can you explain a little bit more about what kind of changes I should expect when working on the assignments compared to the video content?,04919992b3
"Hi! I’m really interested in this LLM Zoomcamp. I just found it now – is there any chance I can still sign up, even though the course has already started?",74eb249bbf
"Okay, so I'm wondering if it's possible to join the course after it’s begun?  I want to know if I could get a certificate.",74eb249bbf
"Just wanted to clarify - if I do end up participating in the Zoomcamp, will I still be able to get a certificate for completing the course?",74eb249bbf
I saw that you need to submit a project to get a certificate. What’s the deadline for submitting my project so I can actually receive one?,74eb249bbf
Can people join this LLM Zoomcamp even if they haven't started yet? And what exactly needs to happen for me to earn a certificate?,74eb249bbf
"Hey, I’m signed up for the LLM Zoomcamp – can you tell me exactly when I should expect to get that confirmation email after registering?",977bf7786c
"I saw that I'm accepted even if I don't get an email. So, is it okay to just jump straight into the course materials and start working on the assignments while the registration form is still open?",977bf7786c
"Just to be clear, does the Zoomcamp actually check against a list of registered students, or is it totally fine to just start learning without registering at all?",977bf7786c
I’m a little confused – what's the point of even filling out the registration form if it doesn’t get verified? Is it just for tracking interest?,977bf7786c
"If I don’t receive an email confirmation, should I still be able to access the course content and submit my homework as normal?",977bf7786c
"Okay, so I’m totally lost about the leaderboard! It says I'm not on it – how exactly do I find out which entry is mine? And what does ‘Lucid Elbakyan’ even mean?",c2903069a0
